month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage
1,2022,South Fairmount,31,13,0,18,246.02,485.19,1926,888,474,242,77,4.1,0.30518018,0.712572081,1.98,1,179118,734383.8,109572.075,0.14920274,7464.6,0.041674204,0.903449025
1,2022,Spring Grove Village,31,13,0,18,246.02,485.19,2220,922,515,362,65,4.1,0.245119306,0.782147981,2.4,1,206460,846486,91377.45,0.107949157,9991.8,0.048395815,0.938492953
1,2022,Villages at Roll Hill,31,13,0,18,246.02,485.19,2503,864,1444,819,77,4.1,0.706018519,0.369700104,2.9,1,232779,954393.9,246638.25,0.258423959,20966.4,0.090069981,0.718194044
1,2022,Walnut Hills,31,13,0,18,246.02,485.19,6431,3677,860,364,186,4.1,0.342398695,0.782790116,1.751691269,0.69,598083,2452140.3,509045.175,0.20759219,8880.3,0.014847939,1.005230245
1,2022,West End,31,13,0,18,246.02,485.19,7764.737972,3603.064397,2293.027387,1263.564767,234,4.1,0.464949237,0.690893072,2.177132188,1,722120.6314,2960694.589,677342.239,0.228778153,35043.01554,0.048527925,0.968199149
1,2022,West Price Hill,31,13,0,18,246.02,485.19,18961.63553,7517.694487,5411.251034,3232.174391,1144.64663,4.1,0.196647414,0.81024671,2.514935943,1,1763432.104,7230071.627,597727.8705,0.082672469,102417.6119,0.058078568,0.950997747
1,2022,Westwood,31,13,0,18,246.02,485.19,32780.69256,14571.34892,8579.409571,3879.037748,1322.756353,4.1,0.218389223,0.819417792,2.263472583,1,3048604.408,12499278.07,1286653.356,0.102938214,121721.982,0.039927116,0.962283121
1,2022,Winton Hills,31,13,0,18,246.02,485.19,6741,2746,3304,1617,595,4.1,0.494901675,0.542016339,2.45,1,626913,2570343.3,549477.675,0.213775987,51760.8,0.082564566,0.838356892
1,2023,Avondale,31,12,0,19,271.63,529.8,12825,5866,3070,1560,841,4.2845,0.423968633,0.688056323,2.051463803,1,1192725,5110230.263,1098010.5,0.214865171,59304.7,0.049722023,0.952643517
1,2023,Bond Hill,31,12,0,19,271.63,529.8,6723,3165,1495,1154,129,4.2845,0.165876777,0.861707486,2.105112908,1,625239,2678836.496,231787.5,0.086525438,31690.1,0.050684778,0.998917701
1,2023,California,31,12,0,19,271.63,529.8,954.8278805,335.9772404,260.6600284,135.3627312,45.46799431,4.2845,0.026859504,0.983597254,2.83,0.13,88798.99289,380459.285,3984.176387,0.010472018,580.6474595,0.006538897,1.000608169
1,2023,Camp Washington,31,12,0,19,271.63,529.8,1128,520,109,67,18,4.2845,0.309615385,0.86960362,1.61,1,104904,449461.188,71081.5,0.158148249,2099.5,0.020013536,1.047765405
1,2023,Carthage,31,12,0,19,271.63,529.8,2962,1094,905,576,145,4.2845,0.174588665,0.808487356,2.7,1,275466,1180234.077,84326.5,0.071448962,17808.7,0.064649358,0.944585676
1,2023,Clifton,31,12,0,19,271.63,529.8,8012,4101,1091,543,155,4.2845,0.058522312,0.895678177,1.940058466,0.4,745116,3192449.502,105960,0.033190815,6896.24,0.009255257,0.938124249
1,2023,College Hill,31,12,0,19,271.63,529.8,16324,7124,3721,2033,828,4.2845,0.20620438,0.813060802,2.238321039,1,1518132,6504436.554,648563.5,0.099710943,70666.7,0.046548456,0.9593202
1,2023,Columbia Tusculum,31,12,0,19,271.63,529.8,1597.922102,755.1396884,284.111962,159.086084,25.33747029,4.2845,0.048954895,0.980076407,2.11,0.13,148606.7555,636705.6439,16321.27687,0.025633944,592.1840327,0.003984907,1.009695258
1,2023,Corryville,31,12,0,19,271.63,529.8,4442,1987,267,78,1,4.2845,0.023653749,0.686047929,2.159706325,1,413106,1769952.657,20750.5,0.01172376,1951.3,0.004723485,0.702495174
1,2023,CUF,31,12,0,19,271.63,529.8,17903,6110,478,165,120,4.2845,0.052373159,0.77211139,2.154798515,1,1664979,7133602.526,141280,0.01980486,7039.5,0.004227981,0.796144232
